id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgyHop-cCFxGk7fS2F54AaABAg	0	0	2018-06-27 23:32:42	juan lopez	U si migracion se pone culera aqui en bakersfield ca ahora k esta la pisca de la uva nos llebarian unos 5000 emigrantes andamos como 200 por field y aparte para deleno todo el valle de san juaquin abemos como un millon y k asen los rancheros si nos echan para fuera	UCGaYiW6aDmdib3sZx2PSC2Q	http://www.youtube.com/channel/UCGaYiW6aDmdib3sZx2PSC2Q	0		
UgwzOmHtyFataV7jyUt4AaABAg	0	0	2018-06-27 22:54:16	david korb	Reporter is obviously biased. Doesn&#39;t want to go back to pre trump policies. The parents are breaking the law and putting their kids in this position	UCu-NSYDptl9PF6Yqrmga0vQ	http://www.youtube.com/channel/UCu-NSYDptl9PF6Yqrmga0vQ	0		
UgyVMjqp0yGXqqeJ-Dl4AaABAg	0	0	2018-06-27 19:00:57	Amalia Rivera	Very noticeable this is obviously a very bias reporter, we see it CBS, that is why I have to <a href="http://www.youtube.com/results?search_query=%23WalkAway">#WalkAway</a> from the Democratic Plantation.	UCyUAafykZk2n5Db2PSNcK8w	http://www.youtube.com/channel/UCyUAafykZk2n5Db2PSNcK8w	0		
Ugz6MtMEt61SXZIxxn94AaABAg	0	0	2018-06-27 16:38:59	Prepared Man	This is why women cannot be part of the solution. Women on average think with emotion and not logic. Their emotional component is so overwhelming that they endanger their community.	UChkDgMHCytMf_7xDdTTDEqA	http://www.youtube.com/channel/UChkDgMHCytMf_7xDdTTDEqA	0		
UgyUJxBzlPn8ttaG6Xx4AaABAg	0	0	2018-06-27 07:32:10	Gcal1956	Funny how she cut him off when he said it started in 2014. She didn&#39;t wanna hear any of how this is the result of Obama policy and bush policys. <br />Yet Trump is the devil and created all this according to the msm. <br />Why didn&#39;t u go down there with your own ears back in 2014? <br />Yeah....that&#39;s what I thought. <br />Shame on you lady for being a fool and trying to paint a different picture then the facts.	UCEMhR5pgXb5Y8bCwTLcF2Fw	http://www.youtube.com/channel/UCEMhR5pgXb5Y8bCwTLcF2Fw	0		
UgxsdU1D13ST6--iaNZ4AaABAg	0	0	2018-06-27 07:31:10	Tina Kelly	Thank you to all of our amazing border patrol officers.	UCEtO2PhvJOd4JwI1SeMcpFQ	http://www.youtube.com/channel/UCEtO2PhvJOd4JwI1SeMcpFQ	0		
UgyNukAoAnHDDF1mvS14AaABAg	0	0	2018-06-27 07:29:28	Tina Kelly	Oprah wannabe don’t let the man finish any of his words. We have to have a zero tolerance, the past administrations have been far too weak. This will never stop if we don’t enforce the law.	UCEtO2PhvJOd4JwI1SeMcpFQ	http://www.youtube.com/channel/UCEtO2PhvJOd4JwI1SeMcpFQ	0		
UgyTKyoRLLqinKTxQkB4AaABAg	0	0	2018-06-26 17:40:45	TJ Tobee	These stories are not true!!! It’s NOT our problem to deal with these people that are coming here ILLEGALLY!!!!!! My husband had to pay thousands of dollars and countless years to come here legally! What makes these people think that they automatically deserve to come here?! It’s funny how this news reporter won’t let him finish his story and said she’s out of time! They should allow all the time in the world for this man to explain what’s going on! He’s on the front lines and deals with this daily! But they sure will show the stories of these people that are saying they’re getting separated from their children! I can tell you from personal lead knowing people that have come here illegally that most of those children are not even their children! They use these children as pawns thinking that it will help them to get in this country! I even know somebody that paid somebody from here in the United States to borrow the birth certificate so that she could illegally bring her children here from Guatemala. I totally understand what she was going through but how is this our problem? If you go to Las Vegas right now, which is the area that I live in, North Las Vegas is overrun with illegal people, half of them are on welfare! How is that OK for me to have to pay thousands of dollars in taxes every year for illegals that are here. They need to come over here legally ! These news outlets need to report accurately!!!!!! This country is divided because of the news outlets and their lying reporters!	UC7pFHMWS0lXlAIWPBR5zCIw	http://www.youtube.com/channel/UC7pFHMWS0lXlAIWPBR5zCIw	0		
UgwRb5ys4PV1Gy3a5hJ4AaABAg	0	0	2018-06-26 17:23:17	figurefour633	They broke the law, idiot they are criminals.	UCaB4b2vVvz515Ql7PuETxTg	http://www.youtube.com/channel/UCaB4b2vVvz515Ql7PuETxTg	0		
Ugzv9CwI4F2BuUgV2-F4AaABAg	0	0	2018-06-26 07:35:16	ROLAND KING	Trump mentioned last week that he was going to drop the federal government ban on marijuana so it&#39;s not about marijuana so stop lying	UC00YoHBa2gbz8Jx1EutmhSQ	http://www.youtube.com/channel/UC00YoHBa2gbz8Jx1EutmhSQ	0		
