id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgwbRbj1D-bXPA8-2Mh4AaABAg	0	0	2018-11-25 22:33:12	John Hearn	Trump the master mind, has created a major problem. And<br />He is part of that problem. We<br />Need a president, not a real estate <br />Salesman.	UCL_NPdqvVmMQYuhhg51N5mQ	http://www.youtube.com/channel/UCL_NPdqvVmMQYuhhg51N5mQ	0		
UgyQwmB8f5e6UcmWQ514AaABAg	0	0	2018-11-25 22:33:11	Handyjack	Build a wall around California and then open their southern border...	UCJOBaD4goP1d4cPO-3c150Q	http://www.youtube.com/channel/UCJOBaD4goP1d4cPO-3c150Q	0		
UgxuPhrMJQKFQuDfP3R4AaABAg	0	0	2018-11-25 22:33:03	Saint Lucky	Don&#39;t let them in, President Trump! These people have been disrespecting Mexico since they day they got there! What makes y&#39;all think they&#39;ll respect the U.S???	UCy63ZxXCenQHxym5sy2XPjQ	http://www.youtube.com/channel/UCy63ZxXCenQHxym5sy2XPjQ	0		
UgzDbbhl_R4nsPy-NJx4AaABAg	0	2	2018-11-25 22:32:56	Joshua Allen	Wow CBS....showing video footage of a MEXICAN protest from DAYS ago when &quot;reporting&quot; on an event that occurred this evening. pathetic	UCVv1jCqaxiaJhRp8eBZ9stQ	http://www.youtube.com/channel/UCVv1jCqaxiaJhRp8eBZ9stQ	0		
Ugw5Qhjd3rjqJf053z14AaABAg	0	0	2018-11-25 22:32:46	H V	FAKE NEWS..FAKE NEWS..	UCLIehN8_klnjbCiM_upbJmg	http://www.youtube.com/channel/UCLIehN8_klnjbCiM_upbJmg	0		
UgwwJaj6ZgixVq4C-_Z4AaABAg	0	0	2018-11-25 22:32:40	Pat Daddy	If a single rock or pebble is thrown, the U.S. military is authorized to mowe down that entire alien horde. <a href="http://www.youtube.com/results?search_query=%23GodBlessOurTroops">#GodBlessOurTroops</a> <a href="http://www.youtube.com/results?search_query=%23MAGA">#MAGA</a>	UCaPaHgq9PtqhaEnj--zfAMA	http://www.youtube.com/channel/UCaPaHgq9PtqhaEnj--zfAMA	0		
UgzwKS9ooC3CvIlwWw54AaABAg	0	0	2018-11-25 22:32:34	Nate Gardner	Keep it closed until new comprehensive laws are passed.	UCM2yflPQmWHy_wbMY17fIjw	http://www.youtube.com/channel/UCM2yflPQmWHy_wbMY17fIjw	0		
UgyksgqfxqhCr0RHm3h4AaABAg	0	0	2018-11-25 22:32:34	Thelma Parker	Hit mexico economically!	UCuAal4C5PLILGcXTf9JRnKQ	http://www.youtube.com/channel/UCuAal4C5PLILGcXTf9JRnKQ	0		
UgyaW-COIwakxD4MDx94AaABAg	0	1	2018-11-25 22:32:33	Victor Creed	I see Trump&#39;s trailer trash maggot army is in full effect. Makes me want to go buy some beer, some pork rinds and invite my cousin over for some Netflix and chill.	UC0tEqh5mU4vkp_ABO9e_6ow	http://www.youtube.com/channel/UC0tEqh5mU4vkp_ABO9e_6ow	0		
UgzLWet6p9kN6IDwvvR4AaABAg	0	0	2018-11-25 22:32:28	Bartô N	Technically they&#39;re trying to cross over into the part of Mexico that the US illegally stole	UCR42Q6qARvYR_2WwoUK6ztg	http://www.youtube.com/channel/UCR42Q6qARvYR_2WwoUK6ztg	0		
Ugw1W85YLE61fn_iVl14AaABAg	0	1	2018-11-25 22:32:24	Linda Minton	Mob rule is the culture democrats want to import here illegally.	UChAyR5SXETpSfHnTA03DiuQ	http://www.youtube.com/channel/UChAyR5SXETpSfHnTA03DiuQ	0		
UgweLZpEqUSt1CAqdNN4AaABAg	0	9	2018-11-25 22:31:57	iPac9mm	Good! TRUMP 2020	UCrx0QWDZanjtHiykOt9fdWA	http://www.youtube.com/channel/UCrx0QWDZanjtHiykOt9fdWA	0		
Ugx3jrZ43Cw0rBSolrh4AaABAg	0	0	2018-11-25 22:31:50	Jose Nuno	SHOOT THEM ALL!	UCGtIVIXXylYajjZbPhRRjlA	http://www.youtube.com/channel/UCGtIVIXXylYajjZbPhRRjlA	0		
Ugz9ANFLcrWhPQWE0jB4AaABAg	0	0	2018-11-25 22:31:34	lilpandanesegirl	Poor children. Irresponsible parents putting them in danger.	UCxZa4USenIHw0Mnh_0ooBiw	http://www.youtube.com/channel/UCxZa4USenIHw0Mnh_0ooBiw	0		
Ugy0zhN_eCVpFQxJYaB4AaABAg	0	0	2018-11-25 22:31:27	Daily Logic	Jump into the Pacific Ocean and swim north...	UC8fwMEUPGPNYY7zBoxAUVAA	http://www.youtube.com/channel/UC8fwMEUPGPNYY7zBoxAUVAA	0		
UgzRAOj-4kCApgw3QZd4AaABAg	0	0	2018-11-25 22:31:23	Josh F	Please keep the men and women protecting our border in your thoughts and prayers. They are on the front line and in a bad situation. I hope they all stay safe.	UCZl-BWO8MPWSwcZTefEYwvA	http://www.youtube.com/channel/UCZl-BWO8MPWSwcZTefEYwvA	0		
UgxJDVjPyNVTftlAu5R4AaABAg	0	0	2018-11-25 22:31:14	Rusty Morton	Shut em down !!!!	UC4bTfKJVEVi639gJMT3Wqrg	http://www.youtube.com/channel/UC4bTfKJVEVi639gJMT3Wqrg	0		
UgwZcjjpnWn0dh0y5IF4AaABAg	0	0	2018-11-25 22:29:57	HORNET1	SHUT THE BORDER DOWN<br />No Deals...No Asylum	UC6DBqjWz7R8vOu4YXudUjeg	http://www.youtube.com/channel/UC6DBqjWz7R8vOu4YXudUjeg	0		
UgwOHH3-tLiQwyRgshB4AaABAg	0	0	2018-11-25 22:29:55	Tom Jones	(((cbs)))	UCWV85q2AE5CIvoYOpLhI0UA	http://www.youtube.com/channel/UCWV85q2AE5CIvoYOpLhI0UA	0		
UgyfTZeQ_Gxlw-EiIVh4AaABAg	0	0	2018-11-25 22:29:40	Missna Missna	Those who made fun of Trumps border wall...how do you like it now😂	UCNFuokUUfE_8_dm7kCqbwdA	http://www.youtube.com/channel/UCNFuokUUfE_8_dm7kCqbwdA	0		
Ugxkm-K1-5bfMI0SDT54AaABAg	0	0	2018-11-25 22:29:32	EvilShake101	If they put half of this effort to enter America into their countries, they may not be the shitholes they are today.	UCT3WKLr7gKY2416dTVKBaqA	http://www.youtube.com/channel/UCT3WKLr7gKY2416dTVKBaqA	0		
Ugz2Iq3yCjYPKwAKDmt4AaABAg	0	0	2018-11-25 22:29:27	BladeMasterz916	they gunna rape our women and smoke our weed n take our guns!	UCJ_3ukM312oalP1pLAhgyYQ	http://www.youtube.com/channel/UCJ_3ukM312oalP1pLAhgyYQ	0		
UgzT1HVMDt1qwjxGwoZ4AaABAg	0	0	2018-11-25 22:29:22	jack black	shoot these filthy animals shoot ,they are coming you and your property	UCp8PbmZfATjLg32jGsm7FFQ	http://www.youtube.com/channel/UCp8PbmZfATjLg32jGsm7FFQ	0		
Ugx0ugIl7neyDhmTgFZ4AaABAg	0	0	2018-11-25 22:29:20	Tony Glenn	Set up some machine gun nest along the canal and open fire when they try to cross that river. That will make them think twice.	UC2bUmiYSAcFwTkry6JFy4Rw	http://www.youtube.com/channel/UC2bUmiYSAcFwTkry6JFy4Rw	0		
UgwIQJZkZl_9KPM21Gd4AaABAg	0	0	2018-11-25 22:29:20	Josh F	Close all the ports. I stand with our president	UCZl-BWO8MPWSwcZTefEYwvA	http://www.youtube.com/channel/UCZl-BWO8MPWSwcZTefEYwvA	0		
UgyMV9wPway0Z_YnDLJ4AaABAg	0	0	2018-11-25 22:29:04	vegas1a	Notice that CBS, a so called American broadcaster, uses a BBC reporter, based 6000 miles to the east for on the ground reports. And Why is that the case, why not an American reporter??<br /><br />We are getting VERY much better reports from Tijuana residents themselves.	UCuK7JNLwSS4sJWkhxJI8hDg	http://www.youtube.com/channel/UCuK7JNLwSS4sJWkhxJI8hDg	0		
UgzoZQkch8d_BLyQYUB4AaABAg	2	17	2018-11-25 22:29:02	Braz Nart'n	Trump ain&#39;t joking. Usa supports him fully.	UC6qdb4ssHD4vsXmldK0cmBw	http://www.youtube.com/channel/UC6qdb4ssHD4vsXmldK0cmBw	0		
UgzoZQkch8d_BLyQYUB4AaABAg.8o5BnR2vWRd8o5MAeVrSJF		1	2018-11-25 23:59:43	Cindy Do	+Roberto Nestaj All those in favor of open unsecured borders should have all illegal immigrants sent to their home? They shouldn't lock their doors neither. 😒😒😒	UChPop9s1tMiaz64l1ucCADg	http://www.youtube.com/channel/UChPop9s1tMiaz64l1ucCADg	1	UgzoZQkch8d_BLyQYUB4AaABAg	Braz Nart'n
UgzoZQkch8d_BLyQYUB4AaABAg.8o5BnR2vWRd8o5HlNW4jnJ		0	2018-11-25 23:21:11	Roberto Nestaj	This USA doesn't.	UCIPld5JI0xHwcmuwl2wly3g	http://www.youtube.com/channel/UCIPld5JI0xHwcmuwl2wly3g	1	UgzoZQkch8d_BLyQYUB4AaABAg	Braz Nart'n
UgxIuVox0S8EvtfPDLJ4AaABAg	5	79	2018-11-25 22:29:00	D. Green	CBS fake stream media could have easily showed us actual footage but chose to use a BBC correspondent via phone and show pictures of women and children for the most part but I seen a live video that shows these men on the border fence rushing at one time starting fires dragging and trampling over children one full leave in had an actual ladder Sam got over the fence but border patrol and law enforcement fired teargas and use the sound weapon to repel them hundreds of men. Watch RKTNN News Network with Randell K Taylor to get the real news here on YouTube these fake stream media agencies are going to push the women and children narrative and hide the truth!	UCnieoCosUFulY7kQAAKZeiw	http://www.youtube.com/channel/UCnieoCosUFulY7kQAAKZeiw	0		
UgxIuVox0S8EvtfPDLJ4AaABAg.8o5Bn9Xjs1u8o5MdO5MgAe		0	2018-11-26 00:03:47	john t	+wesley rodgers good keep the liberal traitors we don't want them they are brain washed idiots.	UCxPEtnK0AyGqal2lkCiKxog	http://www.youtube.com/channel/UCxPEtnK0AyGqal2lkCiKxog	1	UgxIuVox0S8EvtfPDLJ4AaABAg	D. Green
UgxIuVox0S8EvtfPDLJ4AaABAg.8o5Bn9Xjs1u8o5KvE_liUo		1	2018-11-25 23:48:44	Theresa Armstrong	MSM knows their viewers are dumb and use them to push a very sinister agenda.	UCWhJarMXhFUXtHw8g8LzmsA	http://www.youtube.com/channel/UCWhJarMXhFUXtHw8g8LzmsA	1	UgxIuVox0S8EvtfPDLJ4AaABAg	D. Green
